keys,en,zh_CN,zh_TW,ja
locDemoSteam,Demo Version (Through Steam),Demo 版（通过 Steam）,Demo 版（透過 Steam）,Demo版（Steam）
locWithoutSteam,Run without Steam,不通过 Steam 启动,不透過 Steam 啟動,Steamを使用せず起動
locXDeltaPath,Override XDelta3 Path,覆盖 XDelta3 路径,覆寫 XDelta3 路徑,XDelta3のパスを指定
loc7zipPath,Override 7-Zip Path,覆盖 7-Zip 路径,覆寫 7-Zip 路徑,7-Zipのパスを指定
locEmptyToDisable,Empty to Disable,留空以禁用,留空以禁用,空欄で無効
locOverrideOS,Override Current OS,覆盖当前系统,覆寫當前系統,システム設定を上書き
locOverrideScale,Override Window Scale,覆盖窗口缩放,覆寫視窗縮放,ウィンドウ倍率を上書き
locGithubApiSource,Github API Source,Github API 源,Github API 源,GitHub APIミラー
locMacQuarantineTitle,macOS Quarantine Check,macOS 隔离检测,macOS 隔離檢測,macOS隔離チェック
locMacQuarantineFound,This application has been quarantined by macOS.\n{0}\n\nYou can move this app to\nthe Applications folder manually\nor run this command in terminal to fix it:\nsudo xattr -dr com.apple.quarantine <app path>\nThen restart the app,此应用已被 macOS 隔离。\n{0}\n\n你可以手动将此应用移动到\n「应用程序/Applications」文件夹\n或在终端运行以下命令修复：\nsudo xattr -dr com.apple.quarantine <应用路径>\n随后重启应用,此應用程式已被 macOS 隔離。\n{0}\n\n你可以手動將此應用移動到\n「應用程式/Applications」資料夾\n或在終端機運行以下命令修復：\nsudo xattr -dr com.apple.quarantine <應用路徑>\n隨後重啟應用,このアプリはmacOSの隔離属性が設定されています。\n{0}\n\n手動で\n「アプリケーション（Applications）」フォルダーへ移動するか\n以下をターミナルで実行してください\nsudo xattr -dr com.apple.quarantine <アプリのパス>\nその後、アプリを再起動してください
locMacQuarantineXattrInfo,From: {0}  Date: {1},来自：{0}  时间：{1},來自：{0}  時間：{1},送信元：{0}  時刻：{1}
loc1225,"*  You tried to patch it...\n* But, it slipped through your hand\n*  And you couldn't find it anymore.\n\n*  You couldn't find\nyour patch.",*  你试着安装它...\n*  结果，那东西从你手上滑走\n*  然后就再也找不到了。\n\n*  找不到\n你的补丁了。,*  你試著安裝它...\n*  結果，那東西從你手上滑走\n*  然後就再也找不到了。\n\n*  找不到\n你的補丁了。,＊ パッチを　当てようとした…\n＊ が　手をすり抜けて…\n＊ …もう　見つからなかった。\n\n＊ ………\n\n　 パッチが　見つからなかった。
